El código binario

1. Traducción de la frase "Empezamos el técnico en la Universidad Galileo." de código ASCII (1-255) a código binario.:

 Carácter   ASCII   Binario
 E          69      01000101
 m          109     01101101
 p          112     01110000
 e          101     01100101
 z          122     01111010
 a          97      01100001
 m          109     01101101
 o          111     01101111
 s          115     01110011
( )         32      00100000
 e          101     01100101
 l          108     01101100
( )         32      00100000
 t          116     01110100
 é          233     11101001
 c          99      01100011
 n          110     01101110
 i          105     01101001
 c          99      01100011
 o          111     01101111
( )         32      00100000
 e          101     01100101
 n          110     01101110
( )         32      00100000
 l          108     01101100
 a          97      01100001
( )         32      00100000
 U          85      01010101
 n          110     01101110
 i          105     01101001
 v          118     01110110
 e          101     01100101
 r          114     01110010
 s          115     01110011
 i          105     01101001
 d          100     01100100
 a          97      01100001
 d          100     01100100
( )         32      00100000
 G          71      01000111
 a          97      01100001
 l          108     01101100
 i          105     01101001
 l          108     01101100
 e          101     01100101
 o          111     01101111
 .          46      00101110

2. Traducción de mí nombre "Josué Adiel Asaf Ovalle Marroquin" de código ASCII (1-255) a código binario:
 Carácter   ASCII   Binario
 J          74      01001010
 o          111     01101111
 s          115     01110011
 u          117     01110101
 é          233     11101001
( )         32      00100000
 A          65      01000001
 d          100     01100100
 i          105     01101001
 e          101     01100101
 l          108     01101100
( )         32      00100000
 A          65      01000001
 s          115     01110011
 a          97      01100001
 f          102     01100110
( )         32      00100000
 O          79      01001111
 v          118     01110110
 a          97      01100001
 l          108     01101100
 l          108     01101100
 e          101     01100101
( )         32      00100000
 M          77      01001101
 a          97      01100001
 r          114     01110010
 r          114     01110010
 o          111     01101111
 q          113     01110001
 u          117     01110101
 i          105     01101001
 n          110     01101110







 
